Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7058823529411765,0,TOP_RIGHT
149,368,206,351,0.6842105263157895,0,TOP
258,275,340,275,0.525,0.5555555555555556,CENTER
258,275,340,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
257,275,339,275,0.5384615384615384,0.5555555555555556,CENTER
256,275,339,275,0.5128205128205128,0.5555555555555556,CENTER
256,275,339,275,0.5128205128205128,0.5294117647058824,CENTER
256,275,339,275,0.5128205128205128,0.5294117647058824,CENTER
256,275,339,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5128205128205128,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,275,338,276,0.5263157894736842,0.5588235294117647,CENTER
256,276,338,276,0.5263157894736842,0.5882352941176471,CENTER
256,276,338,276,0.5263157894736842,0.5882352941176471,CENTER
256,276,338,276,0.5263157894736842,0.5882352941176471,CENTER
256,276,338,276,0.5263157894736842,0.5882352941176471,CENTER
256,276,338,276,0.5263157894736842,0.5555555555555556,CENTER
256,276,338,276,0.5263157894736842,0.5555555555555556,CENTER
256,276,338,276,0.5263157894736842,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
256,276,338,276,0.5384615384615384,0.5555555555555556,CENTER
240,274,327,275,0.24390243902439024,0.5277777777777778,LEFT
